"site","transect","position","year","seedlingNumber","fruitplNumber"
"BR","IV",3,2016,0,0
"BR","IV",3,2017,0,0
"BR","IV",3,2018,0,0
"BR","IV",3,2019,4,3
"BR","IV",3,2020,92,8
"BR","IV",3,2021,9,0
"BR","IV",4,2006,7,4
"BR","IV",4,2007,9,6
"BR","IV",4,2008,91,30
"BR","IV",4,2009,317,16
"BR","IV",4,2010,6,22
"BR","IV",4,2011,20,11
"BR","IV",4,2012,13,0
"BR","IV",4,2013,7,0
"BR","IV",4,2014,0,0
"BR","IV",4,2015,1,0
"BR","IV",4,2016,0,0
"BR","IV",4,2017,0,0
"BR","IV",4,2018,0,0
"BR","IV",4,2019,3,6
