"site","countFruitNumberPerPlant","permanentPlot","damage","year"
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",5,0,NA,2006
"CP3",5,0,NA,2006
"CP3",5,0,NA,2006
"CP3",5,0,NA,2006
"CP3",5,0,NA,2006
"CP3",5,0,NA,2006
"CP3",5,0,NA,2006
"CP3",5,0,NA,2006
"CP3",5,0,NA,2006
"CP3",5,0,NA,2006
"CP3",5,0,NA,2006
"CP3",5,0,NA,2006
"CP3",5,0,NA,2006
"CP3",5,0,NA,2006
"CP3",5,0,NA,2006
"CP3",5,0,NA,2006
"CP3",5,0,NA,2006
"CP3",5,0,NA,2006
"CP3",6,0,NA,2006
"CP3",6,0,NA,2006
"CP3",6,0,NA,2006
"CP3",6,0,NA,2006
"CP3",6,0,NA,2006
"CP3",6,0,NA,2006
"CP3",6,0,NA,2006
"CP3",6,0,NA,2006
"CP3",6,0,NA,2006
"CP3",6,0,NA,2006
"CP3",6,0,NA,2006
"CP3",6,0,NA,2006
"CP3",6,0,NA,2006
"CP3",6,0,NA,2006
"CP3",6,0,NA,2006
"CP3",6,0,NA,2006
"CP3",6,0,NA,2006
"CP3",6,0,NA,2006
"CP3",6,0,NA,2006
"CP3",6,0,NA,2006
"CP3",7,0,NA,2006
"CP3",7,0,NA,2006
"CP3",7,0,NA,2006
"CP3",7,0,NA,2006
"CP3",7,0,NA,2006
"CP3",7,0,NA,2006
"CP3",7,0,NA,2006
"CP3",7,0,NA,2006
"CP3",7,0,NA,2006
"CP3",7,0,NA,2006
"CP3",7,0,NA,2006
"CP3",7,0,NA,2006
"CP3",7,0,NA,2006
"CP3",8,0,NA,2006
"CP3",8,0,NA,2006
"CP3",8,0,NA,2006
"CP3",8,0,NA,2006
"CP3",8,0,NA,2006
"CP3",8,0,NA,2006
"CP3",8,0,NA,2006
"CP3",8,0,NA,2006
