"site","year","damaged","sdno"
"S22",2007,0,43
"S22",2007,0,45
"S22",2007,0,46
"S22",2007,0,47
"S22",2007,0,48
"S22",2007,0,51
"S22",2007,0,51
"S22",2007,0,52
"S22",2007,0,53
"S22",2007,0,56
"S22",2007,0,56
"S22",2007,0,57
"S22",2007,0,58
"S22",2007,0,59
"S22",2007,0,61
"S22",2007,0,62
"SM",2007,0,18
"SM",2007,0,18
"SM",2007,0,20
"SM",2007,0,20
"SM",2007,0,22
"SM",2007,0,22
"SM",2007,0,24
"SM",2007,0,24
"SM",2007,0,26
"SM",2007,0,26
"SM",2007,0,26
"SM",2007,0,26
"SM",2007,0,26
"SM",2007,0,26
"SM",2007,0,30
"SM",2007,0,30
"SM",2007,0,30
"SM",2007,0,30
"SM",2007,0,30
"SM",2007,0,30
"SM",2007,0,31
"SM",2007,0,31
"SM",2007,0,32
"SM",2007,0,32
"SM",2007,0,32
"SM",2007,0,32
"SM",2007,0,32
"SM",2007,0,32
"SM",2007,0,37
"SM",2007,0,37
"SM",2007,0,38
"SM",2007,0,38
"SM",2007,0,39
"SM",2007,0,39
"SM",2007,0,42
"SM",2007,0,42
"SM",2007,0,44
"SM",2007,0,44
"SM",2007,0,49
"SM",2007,0,49
"SM",2007,0,50
"SM",2007,0,50
"SM",2007,0,53
"SM",2007,0,53
"URS",2007,0,1
"URS",2007,0,1
"URS",2007,0,6
"URS",2007,0,6
"URS",2007,0,25
"URS",2007,0,25
"URS",2007,0,36
"URS",2007,0,36
"URS",2007,0,40
"URS",2007,0,40
"URS",2007,0,42
"URS",2007,0,42
"URS",2007,0,42
"URS",2007,0,42
"URS",2007,0,50
"URS",2007,0,50
"URS",2007,0,53
"URS",2007,0,53
"URS",2007,0,57
"URS",2007,0,57
"URS",2007,0,58
"URS",2007,0,58
"URS",2007,0,58
"URS",2007,0,58
"URS",2007,0,58
"URS",2007,0,58
"URS",2007,0,79
"URS",2007,0,79
"URS",2007,0,83
"URS",2007,0,83
"BG",2008,0,0
"BG",2008,0,8
"BG",2008,0,12
"BG",2008,0,13
"BG",2008,0,15
"BG",2008,0,16
"BG",2008,0,16
"BG",2008,0,18
"BG",2008,0,19
"BG",2008,0,19
"BG",2008,0,21
"BG",2008,0,22
"BG",2008,0,22
"BG",2008,0,22
"BG",2008,0,22
"BG",2008,0,23
"BG",2008,0,23
"BG",2008,0,23
"BG",2008,0,24
"BG",2008,0,24
"BG",2008,0,25
"BG",2008,0,25
"BG",2008,0,25
"BG",2008,0,26
"BG",2008,0,27
"BG",2008,0,27
"BG",2008,0,28
"BG",2008,0,30
"BG",2008,0,31
"BG",2008,0,32
"BG",2008,0,33
"BG",2008,0,33
"BG",2008,0,33
"BG",2008,0,33
"BG",2008,0,34
"BG",2008,0,34
"BG",2008,0,35
"BG",2008,0,35
"BG",2008,0,38
"BG",2008,0,42
"BG",2008,0,43
"BR",2008,0,0
"BR",2008,0,0
"BR",2008,0,4
"BR",2008,0,7
"BR",2008,0,14
"BR",2008,0,15
"BR",2008,0,15
"BR",2008,0,19
"BR",2008,0,19
"BR",2008,0,20
"BR",2008,0,21
"BR",2008,0,21
"BR",2008,0,22
"BR",2008,0,22
"BR",2008,0,22
"BR",2008,0,24
"BR",2008,0,24
"BR",2008,0,24
"BR",2008,0,27
"BR",2008,0,27
"BR",2008,0,27
"BR",2008,0,28
